STATION,WCODE,TMAX,TMIN,ELEVATION
AMRAARQO,ARQO,21.75,77,312
AMRADGJW,DGJW,21.75,77.25,550
AMRAIYWT,IYWT,21.75,77.5,550
NAGPJMYB,JMYB,21.75,79,588
NAGPGIMA,GIMA,21.75,79.25,588
NAGPWFMJ,WFMJ,21.75,79.5,588
NANDLFMG,LFMG,22,74,236
NANDJCFH,JCFH,22,74.25,236
NANDEFUE,EFUE,22,74.5,464
JALNQXTX,QXTX,19.25,75.5,603
JALNMZJK,MZJK,19.25,75.75,603
JALNPPEW,PPEW,19.25,76,546
JALNZKRB,ZKRB,19.25,76.25,546
JALNJVLI,JVLI,19.5,75.5,603
JALNLNVM,LNVM,19.5,75.75,603
JALNYQMP,YQMP,19.5,76,422
JALNKHQR,KHQR,19.5,76.25,546
JALNDATQ,DATQ,19.5,76.5,439
JALNORGK,ORGK,19.75,75.5,422
JALNJWVR,JWVR,19.75,75.75,422
JALNJLZI,JLZI,19.75,76,422
JALNGDHK,GDHK,19.75,76.25,475
JALNFCKQ,FCKQ,19.75,76.5,475
JALNHUCC,HUCC,20,75.5,422
JALNKUUW,KUUW,20,75.75,422
JALNTFIR,TFIR,20,76,422
JALNBSFJ,BSFJ,20,76.25,475
JALNBCCQ,BCCQ,20,76.5,475
JALNIJTD,IJTD,20.25,75.75,422
JALNRDEY,RDEY,20.25,76,422
JALNDHKT,DHKT,20.25,76.25,475
JALNJGUO,JGUO,20.5,75.75,422
JALNKVNU,KVNU,20.5,76,422
JALNDQPX,DQPX,20.75,76,422
